titre,titre original
Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader"
"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
The Secret in Their Eyes,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
Howl's Moving Castle,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness"
"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand"
Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
My Neighbor Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
Children of Heaven,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
Wild Strawberries,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
The Wages of Fear,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur"
Memories of Murder,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
Wild Tales,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
The Seventh Seal,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron"
Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman"
The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman"
Jaws,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
The Passion of Joan of Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
Tokyo Story,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
Ford v Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale"
Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano"
Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
The Wizard of Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
Groundhog Day,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
The Exorcist,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
The Best Years of Our Lives,"William Wyler (dir.), Myrna Loy, Dana Andrews"
The Incredibles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
The Battle of Algiers,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
Pirates of the Caribbean: The Curse of the Black Pearl,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
The Grapes of Wrath,"John Ford (dir.), Henry Fonda, Jane Darwell"
My Father and My Son,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
Amores Perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
The 400 Blows,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
The Sound of Music,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese"
Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams"
The Iron Giant,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
The Help,"Tate Taylor (dir.), Viola Davis, Emma Stone"
Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
